,,Indoor Environmental Quality Indicators,,,,,,,Human Physiological Responses Indocators,,,,Survey,
#,DATE TIME (PST),Temperature (°C ),RH (%),CO2(ppm),PM2.5,Diff PM2.5,Acoustics(dBA),Lighting(lux),EDA(microS),Skin Temperature (°C ),Stress level,Heart rate,IAQ Evaluation,Thermal Comfort
1,11/15/22 10:20,18.94,45.166,434,19.222,,58.4,130,,,,,0,-1
2,11/15/22 10:30,20.2,41.986,433,19.8,0.578,56.5,135,,,,,0,-1
3,11/15/22 10:40,20.72,39.874,429,19.927,0.127,64.9,137,,,6,96,0,-1
4,11/15/22 10:50,21.13,38.544,432,18.078,-1.849,60.6,139,0.043624,32.05363869,1,73,0,-1
5,11/15/22 11:00,21.46,37.787,399,16.889,-1.189,63.7,142,0.10651675,32.52489167,5,72,0,-2
6,11/15/22 11:10,21.65,37.042,427,15.506,-1.383,54.4,146,0.20157975,32.683475,6,68,0,-2
7,11/15/22 11:20,21.87,36.407,378,14.368,-1.138,58,148,0.284967,32.82482333,3,61,0,-2
8,11/15/22 11:30,21.99,35.956,372,14.244,-0.124,55.1,151,0.368755,32.15020167,1,75,0,-2
9,11/15/22 11:40,22.13,35.156,382,14.603,0.359,61.1,156,0.45249325,31.694385,2,77,0,-2
10,11/15/22 11:50,22.23,34.76,383,14.584,-0.019,56.8,160,0.5063295,30.79358932,1,60,0,-2
11,11/15/22 12:00,22.3,34.473,385,14.839,0.255,53.4,160,0.5558585,30.73691514,,,0,-2
12,11/15/22 12:10,22.42,34.32,389,14.837,-0.002,56.3,167,0.69557375,30.80155667,,,,-2
13,11/15/22 12:20,22.51,34.113,393,14.678,-0.159,56,167,0.717607,30.09442833,,,0,-2
14,11/15/22 12:30,22.61,33.936,430,15.286,0.608,57.5,173,0.50979475,29.58676333,,,0,-2
15,11/15/22 12:40,22.78,34.247,434,15.226,-0.06,57.7,177,0.493334,31.525335,,,0,-2
16,11/15/22 12:50,22.87,33.16,408,14.948,-0.278,53.7,176,0.6250515,32.24921333,,,0,-2
17,11/15/22 13:00,22.97,33.197,437,14.428,-0.52,55.6,180,0.67346475,31.687385,,,0,-2
18,11/15/22 13:10,23.06,32.916,424,13.749,-0.679,54.4,186,0.7273055,32.258495,9,54,0,-2
19,11/15/22 13:20,23.16,32.819,409,13.728,-0.021,54.4,187,0.8187655,32.89270167,4,53,0,-2
20,11/15/22 13:30,23.26,32.507,405,15.605,1.877,55.3,192,0.8864045,32.60296,1,56,0,-2
21,11/15/22 13:40,23.33,32.367,428,17.395,1.79,52.7,190,0.9395165,32.170735,0,54,0,-2
22,11/15/22 13:50,23.38,32.69,400,17.624,0.229,53.9,194,1.0125975,31.82657333,7,50,0,-2
23,11/15/22 14:00,23.42,32.819,410,16.126,-1.498,52.9,198,1.03917475,30.910835,0,54,0,-2
24,11/15/22 14:10,23.5,32.947,445,16.266,0.14,53.7,203,1.1302125,31.81087333,0,60,0,-2
25,11/15/22 14:20,23.5,33.49,402,16.175,-0.091,53.9,205,1.2177005,32.68347833,0,52,0,-2
26,11/15/22 14:30,23.52,33.728,419,15.324,-0.851,66.1,206,1.28582025,32.38771167,2,51,0,-2
27,11/15/22 14:40,23.59,33.911,413,13.898,-1.426,53.9,210,1.3642875,32.46953667,1,49,0,-2
28,11/15/22 14:50,24.07,33.948,411,13.169,-0.729,53.9,215,1.40338075,30.12447833,0,52,0,-2
29,11/15/22 15:00,24.68,33.252,382,10.791,-2.378,53.4,220,-0.00376225,27.04231333,,,0,-3
30,11/15/22 15:10,24.58,33.539,428,9.576,-1.215,53.9,213,0.00730675,29.43825667,3,64,0,-3
31,11/15/22 15:20,24.27,34.375,393,8.804,-0.772,53.7,204,0.03390175,29.221155,1,63,0,-3
32,11/15/22 15:30,24.1,35.028,397,8.842,0.038,55.1,193,0.06586775,30.60810333,2,71,0,-3
33,11/15/22 15:40,23.98,35.62,413,9.404,0.562,55.6,188,0.08832625,30.72573,2,76,0,-3
34,11/15/22 15:50,23.88,35.913,406,10.362,0.958,54.1,179,0.110608,31.4553172,1,68,0,-3
35,11/15/22 16:00,23.81,35.968,402,10.689,0.327,55.1,169,,,7,66,0,-3
36,11/15/22 16:10,23.69,36.322,396,10.48,-0.209,54.1,161,,,5,63,0,-3
37,11/15/22 16:20,23.64,36.627,379,11.166,0.686,56.5,148,,,1,66,0,-3
38,11/15/22 16:30,23.54,37.103,373,12.729,1.563,54.4,139,,,2,66,0,-3
39,11/15/22 16:40,23.5,37.634,383,13.724,0.995,56.3,134,,,0,63,0,-3
40,11/15/22 16:50,23.42,37.347,377,12.59,-1.134,62,123,,,,,0,-3
41,11/15/22 17:00,23.33,36.627,385,11.194,-1.396,53.4,117,,,,,0,-2
42,11/15/22 17:10,23.23,36.066,358,9.167,-2.027,53.4,105,,,,,0,-2
43,11/15/22 17:20,23.21,35.779,389,10.818,1.651,56.8,96,,,,,0,-2
44,11/15/22 17:30,23.16,35.535,382,10.606,-0.212,55.1,89,,,,,0,-2
45,11/15/22 17:40,23.14,35.303,378,8.929,-1.677,,78,,,,,0,-2
46,11/15/22 17:50,23.09,35.571,380,9.513,0.584,,71,,,,,0,-2
47,11/15/22 18:00,23.02,35.98,390,12.691,3.178,,72,,,,,0,-2
48,11/15/22 18:10,22.99,36.53,382,11.904,-0.787,,73,,,,,0,-2
49,11/15/22 18:20,22.94,37.006,368,15.88,3.976,,70,,,,,0,-2
50,11/15/22 18:30,22.9,37.445,372,17.18,1.3,,69,,,,,0,-2
51,11/15/22 18:40,22.85,37.823,390,16.049,-1.131,,69,,,,,0,-2
52,11/15/22 18:50,22.82,38.104,368,14.719,-1.33,,68,,,,,0,-2
53,11/15/22 19:00,22.78,38.3,372,17.188,2.469,,67,,,,,0,-2
54,11/15/22 19:10,22.73,38.391,361,14.848,-2.34,,67,,,,,0,-2
55,11/15/22 19:20,22.73,38.434,373,14.061,-0.787,,66,,,,,0,-2
56,11/15/22 19:30,22.66,38.623,390,15.527,1.466,,65,,,,,0,-2
57,11/15/22 19:40,22.66,39.075,385,14.765,-0.762,,64,,,,,0,-2
58,11/15/22 19:50,22.61,39.325,391,16.271,1.506,,63,,,,,0,-2
59,11/15/22 20:00,22.61,39.655,418,15.476,-0.795,,60,,,,,0,-2
1,11/17/22 9:33,21.99,100,368,23.909,8.433,56,162,,,,,0,0
2,11/17/22 9:43,22.13,100,345,23.64,-0.269,53.7,165,,,,,0,0
3,11/17/22 9:53,22.03,100,378,17.095,-6.545,53.4,167,,,,,0,0
4,11/17/22 10:03,22.08,100,351,9.399,-7.696,55.6,170,,,,,0,0
5,11/17/22 10:13,22.15,100,349,7.381,-2.018,54.4,172,,,,,0,0
6,11/17/22 10:23,22.18,100,356,6.426,-0.955,53.4,172,,,,,0,0
7,11/17/22 10:33,22.2,100,350,5.966,-0.46,53.2,174,,,,,0,0
8,11/17/22 10:43,22.27,100,346,5.726,-0.24,53.2,175,,,,,0,0
9,11/17/22 10:53,22.32,100,342,5.912,0.186,53.4,176,,,,,0,0
10,11/17/22 11:03,22.35,100,377,5.338,-0.574,54.6,176,,,,,0,0
11,11/17/22 11:13,22.39,100,365,5.523,0.185,54.1,178,,,,,0,0
12,11/17/22 11:23,22.49,100,379,5.833,0.31,54.4,179,,,,,0,0
13,11/17/22 11:33,22.51,100,371,5.524,-0.309,54.1,179,,,,,0,0
